symptom,importance
fatigue,0.05247373196691402
sore_throat,0.05029461546392195
body_ache,0.04283762797247724
headache,0.04234572319230989
cough,0.039865534506142615
shortness_of_breath,0.03975459707828036
fever,0.037316848706866794
chills,0.037109281878288415
nausea,0.035236296988793374
chest_discomfort,0.03504026955934775
itchy_eyes,0.02737236048325551
dizziness,0.027027329412871053
nasal_congestion,0.025237806128700534
reduced_urination,0.024957233193798653
runny_nose,0.02160011440111943
stomach_pain,0.02136954364977139
wheezing,0.021346790053716928
vomiting,0.020975761659346268
diarrhea,0.020219722570051547
hearing_reduction,0.020085863465349827
pale_skin,0.01981481265264493
stress,0.019796333655049698
ear_pain,0.01962536912158356
facial_pain,0.019452400673699136
severe_headache,0.019131747743614112
neck_pain,0.018690959153986015
sneezing,0.01849819333609134
lower_abdominal_pain,0.018339166444892318
eye_discharge,0.017134014134899657
dry_mouth,0.016062470474715887
itchy_skin,0.015551628705913123
redness,0.015005783405465016
burning_urination,0.014855983796530334
heartburn,0.014661898297567873
frequent_urination,0.014468366049633348
rash,0.014429122745286021
sensitivity_to_sound,0.01401722695976335
sensitivity_to_light,0.013938902823861716
skin_rash,0.011791802424736845
eye_pain,0.011393795214507696
red_eyes,0.01054252921598114
dry_skin,0.010364718788499806
sour_taste,0.009965721849753537
